Site,nYear,PFT,Latitude,Longitude,VPD_SM_Site,VPD_SM_Site_SM2,VPD_SM_Site_SM3,VPD_SM_Site_SM4
DE-Obe,7,ENF,50.78666,13.72129,DE-Obe,DE-Obe,DE-Obe,NA
DE-RuR,4,GRA,50.62191,6.30413,NA,NA,NA,NA
DE-RuS,4,CRO,50.86591,6.44714,NA,NA,NA,NA
DE-Seh,4,CRO,50.87062,6.44965,NA,NA,NA,NA
DE-SfN,3,WET,47.80639,11.3275,NA,NA,NA,NA
DE-Spw,5,WET,51.89225,14.03369,NA,NA,NA,NA
DE-Tha,19,ENF,50.96256,13.56515,DE-Tha,DE-Tha,NA,NA
DE-Zrk,2,WET,53.87594,12.88901,NA,NA,NA,NA
DK-Eng,4,GRA,55.69053,12.19175,NA,NA,NA,NA
DK-Fou,1,CRO,56.4842,9.58722,NA,NA,NA,NA
DK-Sor,19,DBF,55.48587,11.64464,DK-Sor,DK-Sor,DK-Sor,DK-Sor
ES-Amo,6,SH,36.83361,-2.25232,ES-Amo,NA,NA,NA
ES-LgS,3,SH,37.09794,-2.96583,NA,NA,NA,NA
ES-LJu,10,SH,36.92659,-2.75212,ES-LJu,NA,NA,NA
ES-Ln2,1,SH,36.9695,-3.47582,NA,NA,NA,NA
FI-Hyy,19,ENF,61.84741,24.29477,FI-Hyy,FI-Hyy,FI-Hyy,FI-Hyy
FI-Jok,4,CRO,60.8986,23.51345,NA,NA,NA,NA
FI-Let,4,ENF,60.64183,23.95952,NA,NA,NA,NA
FI-Lom,3,WET,67.99724,24.20918,NA,NA,NA,NA
FI-Sod,14,ENF,67.36239,26.63859,FI-Sod,FI-Sod,NA,NA
FR-Fon,10,DBF,48.47636,2.7801,NA,NA,NA,NA
FR-Gri,11,CRO,48.84422,1.95191,FR-Gri,FR-Gri,FR-Gri,FR-Gri
FR-LBr,13,ENF,44.71711,-0.7693,FR-LBr,FR-LBr,FR-LBr,FR-LBr
FR-Pue,15,EBF,43.7413,3.5957,NA,NA,NA,NA
GF-Guy,11,EBF,5.27877,-52.92486,GF-Guy,GF-Guy,GF-Guy,GF-Guy
GH-Ank,4,EBF,5.26854,-2.69421,NA,NA,NA,NA
GL-NuF,7,WET,64.13083,-51.38611,NA,NA,NA,NA
GL-ZaF,4,WET,74.48143,-20.55452,NA,NA,NA,NA
GL-ZaH,15,GRA,74.47328,-20.5503,GL-ZaH,NA,NA,NA
IT-BCi,11,CRO,40.52375,14.95744,IT-BCi,IT-BCi,IT-BCi,IT-BCi
IT-CA1,4,DBF,42.38041,12.02656,NA,NA,NA,NA
IT-CA2,4,CRO,42.37722,12.02604,NA,NA,NA,NA
IT-CA3,4,DBF,42.38,12.0222,NA,NA,NA,NA
IT-Col,19,DBF,41.84936,13.58814,IT-Col,IT-Col,IT-Col,IT-Col
IT-Cp2,3,EBF,41.70427,12.35729,NA,NA,NA,NA
IT-Cpz,13,EBF,41.70525,12.37611,IT-Cpz,IT-Cpz,NA,NA
IT-Isp,2,DBF,45.81264,8.63358,NA,NA,NA,NA
IT-La2,3,ENF,45.9542,11.2853,NA,NA,NA,NA
IT-Lav,12,ENF,45.9562,11.28132,IT-Lav,IT-Lav,IT-Lav,NA
IT-MBo,11,GRA,46.01468,11.04583,IT-MBo,IT-MBo,NA,NA
IT-Noe,11,SH,40.60618,8.15169,IT-Noe,IT-Noe,NA,NA
IT-PT1,3,DBF,45.20087,9.06104,NA,NA,NA,NA
IT-Ren,16,ENF,46.58686,11.43369,IT-Ren,IT-Ren,NA,NA
IT-Ro1,9,DBF,42.40812,11.93001,IT-Ro1,IT-Ro1,NA,NA
IT-Ro2,11,DBF,42.39026,11.92093,IT-Ro2,IT-Ro2,NA,NA
IT-SR2,2,ENF,43.73202,10.29091,NA,NA,NA,NA
IT-SRo,14,ENF,43.72786,10.28444,IT-SRo,IT-SRo,IT-SRo,NA
IT-Tor,7,GRA,45.84444,7.57806,IT-Tor,IT-Tor,NA,NA
JP-MBF,3,DBF,44.3869,142.3186,NA,NA,NA,NA
JP-SMF,5,MF,35.2617,137.0788,JP-SMF,NA,NA,NA
MY-PSO,7,EBF,2.973,102.3062,MY-PSO,NA,NA,NA
NL-Hor,8,GRA,52.24035,5.0713,NA,NA,NA,NA
NL-Loo,19,ENF,52.16658,5.74356,NL-Loo,NL-Loo,NL-Loo,NA
PA-SPn,3,DBF,9.31814,-79.6346,NA,NA,NA,NA
PA-SPs,3,GRA,9.31378,-79.63143,NA,NA,NA,NA
RU-Che,4,WET,68.61304,161.34143,NA,NA,NA,NA
RU-Cok,12,SH,70.82914,147.49428,NA,NA,NA,NA
RU-Fyo,17,ENF,56.46153,32.92208,RU-Fyo,RU-Fyo,RU-Fyo,NA
RU-Ha1,3,GRA,54.72517,90.00215,NA,NA,NA,NA
SD-Dem,5,WSH,13.2829,30.4783,SD-Dem,SD-Dem,SD-Dem,SD-Dem
SJ-Adv,4,WET,78.186,15.923,NA,NA,NA,NA
SJ-Blv,2,SNOW,78.92163,11.83109,NA,NA,NA,NA
SN-Dhr,4,WSH,15.40278,-15.43222,NA,NA,NA,NA
US-AR1,4,GRA,36.4267,-99.42,NA,NA,NA,NA
US-AR2,4,GRA,36.6358,-99.5975,NA,NA,NA,NA
US-ARb,2,GRA,35.5497,-98.0402,NA,NA,NA,NA
US-ARc,2,GRA,35.54649,-98.04,NA,NA,NA,NA
US-ARM,10,CRO,36.6058,-97.4888,US-ARM,NA,NA,NA
US-Atq,6,WET,70.4696,-157.4089,NA,NA,NA,NA
US-Blo,11,ENF,38.8953,-120.6328,US-Blo,NA,NA,NA
US-Cop,7,GRA,38.09,-109.39,US-Cop,US-Cop,NA,NA
US-CRT,3,CRO,41.628495,-83.347086,NA,NA,NA,NA
US-GBT,8,ENF,41.36579,-106.2397,NA,NA,NA,NA
US-GLE,11,ENF,41.36653,-106.2399,US-GLE,NA,NA,NA
US-Goo,5,GRA,34.2547,-89.8735,US-Goo,NA,NA,NA
US-Ha1,22,DBF,42.5378,-72.1715,NA,NA,NA,NA
US-IB2,8,GRA,41.84062,-88.24103,US-IB2,NA,NA,NA
US-Ivo,4,WET,68.4865,-155.7503,NA,NA,NA,NA
