"none","Tair","SW","VPD","SWC","lon","lat","lon_adj","SIF","Tair_ori","SW_ori","VPD_ori","SWC_ori","WI","Land_Cover"
0.348978048558243,-0.0755815806208212,0.0549395365438334,0.0033861173129742,-0.0162317493920903,-68.25,-54.25,-68.25,0.316711872816086,3.82214733668224,127.180334297931,1.87370681762695,24.2874681949615,0.582588076591492,"DBF"
0.348978043779241,-0.0886350516982765,0.0682070946194431,-0.00189896880792993,0.00163869127043202,-67.75,-54.25,-67.75,0.328682273626328,4.82614929935932,130.144435934454,2.36977195739746,25.7445216178894,0.550694286823273,"GRA"
0.348978064391798,-0.10907415476591,0.0389203113131471,0.0305476658766813,0.0458402254105885,-67.25,-54.25,-67.25,0.356661885976791,5.52948757267853,132.970519534687,2.50252509117126,36.2410187721252,0.569387257099152,"GRA"
0.348978081995422,-0.140605524066392,-0.0108703115232546,-0.0252425755893543,0.020454553354663,-68.75,-53.75,-68.75,0.27503702044487,5.09728351922661,127.955864216134,2.31844162940979,36.3019287586212,0.590849637985229,"GRA"
0.348978087317406,-0.133890311296111,0.00357103764290904,0.04312158259026,0.0737372613997357,-68.25,-53.75,-68.25,0.394490987062454,5.92545091357391,133.647465141255,2.81918835639954,51.0890364646912,0.473666191101074,"GRA"
0.348978088246006,-0.116074472016309,-0.0457846014547806,0.0428861184021334,0.0797040411441477,-69.25,-53.25,-69.25,0.308785200119019,6.24087933767697,127.239484884912,2.65229940414429,54.1554927825928,0.565974593162537,"GRA"
0.348978070339052,-0.100294357777382,0.0207968154462497,0.0673021262920054,0.0781876200177676,-68.75,-53.25,-68.75,0.416450440883636,6.46235035885576,132.576182288143,2.87707757949829,48.3408212661743,0.490739464759827,"GRA"
0.34897808801726,-0.141472129247587,-0.0306397805992618,0.0284945687337158,0.0836645443059947,-68.75,-52.75,-68.75,0.289230465888977,6.74556481624194,135.947765746096,3.04830551147461,49.6595978736877,0.391506344079971,"GRA"
0.34897808292546,-0.121298154870776,-0.0136296528239699,-0.0293878616811395,0.0257443328323016,-71.25,-52.25,-71.25,0.207477420568466,5.20869015412262,128.363346037563,2.36379384994507,36.779659986496,0.531854510307312,"GRA"
0.34897809627975,-0.153604474598046,-0.0748171643250253,0.0150580275480597,0.0496775122985066,-70.75,-52.25,-70.75,0.185251370072365,5.36036424741474,130.775375528925,2.70249032974243,49.6375143527985,0.436695069074631,"GRA"
0.348978098947979,-0.162040969574855,-0.0655525567310234,0.0143005961644667,0.0529099708216709,-70.25,-52.25,-70.25,0.239280194044113,6.03819979708311,131.018550164294,3.01018643379211,53.2041370868683,0.383089303970337,"GRA"
0.348978103829939,-0.14765518014642,-0.0598367539422082,0.0111397187033999,0.0427035850464049,-69.75,-52.25,-69.75,0.192541688680649,6.49187982834627,131.932098118788,3.33602213859558,50.5860805511475,0.360417634248734,"GRA"
0.348978091150797,-0.15129296274795,-0.0633137496396943,-0.00192343546663303,0.0659829844022512,-71.75,-51.75,-71.75,0.358384788036346,5.14560446930199,130.821381541022,2.30761528015137,41.5356904268265,0.491667181253433,"GRA"
0.34897808905374,-0.14768857171408,-0.0665740081186965,0.0193472410106412,0.0314542202620231,-71.25,-51.75,-71.25,0.185418397188187,5.32949252931104,136.348675280082,2.72464299201965,35.7358545064926,0.354766726493835,"GRA"
0.348978092047802,-0.174950199799642,-0.0833854086084281,-0.0178401720277589,-0.00476824499027945,-70.75,-51.75,-70.75,0.0668810084462166,6.04222654292272,138.425518111881,3.15916013717651,32.5947165489197,0.282603889703751,"GRA"
0.348978083765742,-0.166286975998093,-0.0866926833061951,0.0123753576861181,-0.0166797591454876,-70.25,-51.75,-70.25,0.0818312242627144,6.7643562968268,138.182343476513,3.59390926361084,31.1668276786804,0.255098611116409,"GRA"
0.348978092759901,-0.18290909103624,-0.0839611711082618,0.0275129258221668,-0.0121886008747978,-69.75,-51.75,-69.75,0.0961434841156006,7.17776886969386,139.1879034552,3.88946294784546,35.3013813495636,0.268032044172287,"GRA"
0.348978090012737,-0.200030895706967,-0.0352598000206317,0.0215323042523438,0.00607179170346285,-69.25,-51.75,-69.25,0.139455869793892,7.75359352475863,141.613077521447,4.22936964035034,36.7223113775253,0.27804571390152,"GRA"
0.348978068578474,-0.123708721819252,-0.014789327677821,0.00613522031202106,0.0730345631845309,-72.25,-51.25,-72.25,0.289876878261566,3.73087443098427,137.880018254162,1.97328519821167,44.5907741785049,0.458489179611206,"GRA"
0.348978081582497,-0.163203455195259,-0.0243247265355334,-0.0511912397415548,0.00420408046116552,-71.75,-51.25,-71.75,0.114204183220863,3.77785313244647,144.774347781242,2.23672866821289,34.5940500497818,0.345047891139984,"GRA"
0.348978048978668,-0.0899652198725269,0.0346073864479787,0.029086783385101,0.0233956930298858,-71.25,-51.25,-71.25,0.020611397922039,5.27043359033001,146.193961868801,3.15160584449768,25.8479744195938,0.246625334024429,"GRA"
0.348978080394303,-0.150818331945865,-0.0471809181895765,0.0198094515530353,-0.130061143413842,-70.25,-51.25,-70.25,0.0377699621021748,7.24353905174087,145.714184885506,4.47189950942993,20.6333190202713,0.190162613987923,"GRA"
0.348978082284761,-0.154559692532401,-0.0299007681163588,-0.0243686160896495,-0.0996667241481298,-69.75,-51.25,-69.75,0.0395952612161636,7.920032352796,146.818329175829,4.81352758407593,22.6878583431244,0.201695501804352,"GRA"
0.348978065003451,-0.116447359153251,-0.0195659273527624,0.00948866865644529,-0.14222552287334,-69.25,-51.25,-69.25,0.0830610990524292,7.98446028622982,148.842593708089,4.62944364547729,18.1120648980141,0.201451748609543,"GRA"
