"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
25.432,970.98,26.232,12.113,"OSH",23,0.889828
30.49,469,17.023,8.3,"SAV",5,7.93107
19.16,77,14.874,3.1,"SAV",3,0.941246
28.96,492.96,17.429,19.35,"CSH",31,2.36951
24.11,615.109,17.93,10.9,"WSA",40,11.3975
35.5,459,35.844,6,"SAV",6,8.82335
18.94,171.7,9.657,18.5,"CSH",31,5.21179
22.97,445.15,5.807,20.144,"CSH",31,13.5981
15.35,119,10.119,4.9,"SAV",3,0.606822
25.64,880,29.294,2.9,"SAV",5,7.71264
23.66,488,13.745,5.2,"WSA",7,8.16947
29.32,309,31.019,6.8,"WSA",7,6.57416
33.01,530.6,26.907,8.2,"SAV",36,14.9216
20.67,418,11.945,8.5,"WSA",7,9.35971
30.5,462,17.47,5,"SAV",6,9.40152
31.74,333,34.681,3.4,"SAV",2,0.088772
30.91,434,17.436,6.6,"WSA",7,5.93295
28.19,651,14.145,6.5,"WSA",7,16.3481
21.8,758,17.243,8,"WSA",7,11.705
30.42,819,23.476,7.7,"WSA",7,9.9577
21.214,113.993,14.26,16.596,"OSH",10,2.03388
28.29,589,24.04,5.59,"WSA",39,6.99757
21.83,703.76,8.035,20.361,"CSH",31,11.8812
22.93,981.311,18.74,12,"WSA",40,15.0446
24.09,196.86,9.543,24.675,"CSH",31,3.81993
30.01,444,32.699,3.9,"SAV",6,4.39074
20.82,324,15.992,4.3,"SAV",5,5.75119
22.84,531,13.081,8.5,"WSA",7,10.0831
32.42,179,30.194,3.6,"SAV",5,1.45816
29,696,17.229,5.9,"WSA",7,5.91156
19.52,681,12.487,2.5,"SAV",3,5.75285
13.96,394.035,6.09,10.2,"WSA",40,11.5355
29.08,851,25.359,7.7,"SAV",5,14.2551
30.66,199,18.512,8.6,"WSA",7,4.02053
23.03,695.3,20.54,2,"OSH",42,1.73378
32.35,676,22.799,9.8,"SAV",5,17.8029
21.47,152,18.435,3.8,"SAV",2,2.14481
29.38,690.258,28.8,6.8,"WSA",40,4.03855
19.253,153.142,7.13,16.767,"OSH",10,4.36677
20.3,391,12.867,4.2,"SAV",2,7.97844
21.7,668.71,10.491,16.392,"CSH",31,9.43361
29.45,615,16.86,5.1,"SAV",5,12.7182
28.88,562,11.539,4,"SAV",5,11.1283
17.33,293.53,7.184,23.31,"CSH",31,10.1911
25.3,922,28.44,2.18,"WSA",39,1.98478
29.38,809,32.764,6.5,"WSA",7,7.59861
26.18,594,15.292,8.5,"WSA",7,11.9537
29.37,609.7,13.78,8.4,"SAV",36,16.9242
29.95,761,28.354,4,"SAV",6,4.60057
27.27,65,29.348,5.3,"SAV",2,0.549685
32.93,919,24.557,6,"WSA",7,13.8059
32.201,653.479,37.16,6.8,"WSA",40,2.17941
31.36,836,29.97,5.11,"WSA",39,5.878
18.37,769.58,7.501,20.705,"CSH",31,13.5097
22.97,654,18.514,3.2,"SAV",5,10.2421
26.78,826,26.052,6,"WSA",7,8.91608
32.23,553,26.018,5.5,"WSA",7,10.2402
26.83,715,27.188,6.5,"SAV",2,4.40946
30.02,744,34.842,9,"SAV",2,4.07119
31.85,577,24.051,8.9,"WSA",7,10.3948
30.82,846,28.467,3.1,"SAV",5,11.6684
28.91,1076,33.083,3.4,"SAV",3,0.489775
32.48,745,17.103,7,"WSA",7,14.3522
28.1,803,18.254,7.2,"WSA",7,23.7885
26.73,727,20.359,4,"SAV",6,10.0046
29.13,784,22.203,5.9,"WSA",7,14.7623
30.51,823,26.656,8.2,"WSA",7,12.1788
27.93,599,16.192,4,"SAV",6,7.76025
30.31,488,38.882,4.4,"SAV",2,1.1652
29.92,154,29.151,8.1,"WSA",7,3.65127
32.02,931,22.855,6,"SAV",6,13.9051
30.73,414,34.959,5.8,"WSA",7,9.36288
38.05,893,55.812,4.4,"SAV",3,3.33663
29.12,207.157,32.68,7.1,"WSA",40,2.06172
30.73,404.373,35.75,7.2,"WSA",40,2.82589
26.13,233.6,8.577,8,"SAV",36,4.68114
27.38,895,25.161,6.2,"SAV",2,11.8479
32.31,58,39.203,3.2,"SAV",5,0.793375
30.28,644,30.621,6.9,"WSA",7,8.62054
28.15,854,34.59,2.36,"WSA",39,2.19612
28.73,752.286,28.52,9.701,"WSA",40,9.46969
19.44,136,9.036,3.2,"SAV",5,4.03464
21.52,372,14.639,4.1,"SAV",2,5.58756
20.44,57,8.412,6.5,"WSA",7,2.75618
28.12,352,29.317,7.5,"SAV",2,1.34503
27.07,805.87,10.671,22.193,"CSH",31,6.7441
28.4,865,27.27,6.12,"WSA",39,5.04926
15.39,632,8.046,2.6,"SAV",3,3.60229
16.95,286,6.763,2.9,"SAV",3,3.9388
30.03,608,35.712,5.5,"WSA",7,8.06611
29.05,617,19.288,8,"WSA",7,13.6662
25.5,871.77,14.624,17.151,"CSH",31,7.18551
31.6,466,33.012,3.1,"SAV",5,5.91971
24.46,337,13.193,6,"WSA",7,8.64465
28.22,220,27.573,3.2,"SAV",5,7.6005
35.34,497,31.519,6.8,"WSA",7,20.5189
28.67,341,28.696,6.1,"SAV",5,9.81834
33.68,523,45.993,3.6,"SAV",3,0.180147
15.99,196.03,5.362,22.863,"CSH",31,7.17865
23.63,446,18.098,2.8,"SAV",5,0.095023
22.18,923.36,9.064,19.478,"CSH",31,14.7645
28.58,826,25.809,3.2,"SAV",5,8.48443
35.89,450.8,54.413,7.8,"SAV",36,9.3754
33.31,577,25.086,7,"WSA",7,8.69873
28.62,797,20.774,6,"WSA",7,14.1318
23.61,818,23.616,3.2,"SAV",2,0.934992
24.41,439,6.73,7,"WSA",7,6.60585
26.62,927.832,22.68,7.5,"WSA",40,6.20745
29.47,456,22.643,8.4,"WSA",7,11.5611
25.46,671,21.167,2.7,"SAV",3,1.8353
30.79,355,34.19,4,"SAV",6,5.18218
20,557.62,6.993,23.39,"CSH",31,18.2988
12.89,517,7.586,12,"SAV",2,5.30316
29.98,1044,35.186,6.2,"SAV",5,12.3367
33.15,595,24.862,5.8,"WSA",7,9.14101
22.62,946,23.88,2.87,"WSA",39,4.07091
29.35,793,23.713,4,"SAV",6,13.3706
14.734,106.061,14.048,13.937,"OSH",23,1.73528
31.11,111,20.801,5.4,"WSA",7,4.57792
29.08,1040,36.26,1.88,"WSA",39,0.814118
31.41,281,39.557,5.3,"SAV",2,2.59178
28.32,195.626,27.7,7.1,"WSA",40,3.05602
27.39,550,27.73,7.7,"SAV",2,3.294
18.72,998,15.46,4.33,"WSA",39,1.36298
39.41,658.648,63.28,7.9,"WSA",40,2.36216
29.63,808,20.775,8.9,"WSA",7,9.71036
29.43,851,21.769,4,"SAV",6,9.62323
28.07,420,29.612,6.8,"WSA",7,9.73435
27.91,490.3,31.05,3,"OSH",42,1.70559
32.04,678,20.497,9.6,"SAV",5,14.1322
20.622,968.672,13.404,12.696,"OSH",23,1.47476
27.89,233,33.435,4.8,"SAV",2,1.79701
33.47,777,28.927,8.2,"WSA",7,13.0647
25.27,698,21.574,3,"SAV",6,8.09248
30.94,399,30.453,5.8,"WSA",7,8.42925
24.67,593.36,18.082,19.855,"CSH",31,9.23814
19.74,385.288,10.07,5.7,"WSA",40,3.45554
20.19,737,10.886,3.1,"SAV",3,6.65441
33.09,123,43.995,3.2,"SAV",5,3.98138
32.57,877.74,30.401,16.118,"CSH",31,1.23591
31.86,752,19.818,6.4,"SAV",5,33.5826
31.89,898,24.578,6.5,"WSA",7,8.53727
32.08,991,28.187,5.5,"WSA",7,7.13004
29.32,804,31.6,3,"OSH",42,2.5047
25.71,524,26.11,4.6,"SAV",5,3.17609
32.4,714.5,35.03,2.19,"WSA",39,0.671459
32.741,287.3,42.73,2.36,"WSA",39,1.88695
14.54,873,9.605,11.8,"SAV",2,4.97457
21.43,908.96,6.947,22.36,"CSH",31,15.1281
25.88,341,9.014,6.9,"WSA",7,13.3331
16.33,538,7.616,2.2,"SAV",3,3.81401
19.62,514.91,7.16,13.4,"WSA",40,12.9945
30.01,125,34.822,5.5,"WSA",7,3.59835
24.8,841,25.09,2,"OSH",42,1.57061
28.71,224,13.002,7.9,"WSA",7,15.0233
23.71,488.91,6.453,17.849,"CSH",31,10.8404
34.46,1014,32.205,6.6,"SAV",5,21.9697
34.12,823,35.887,7.5,"WSA",7,13.2239
24.229,699.842,14.99,16.816,"OSH",10,7.32351
29.81,762,26.028,5.6,"WSA",7,9.78908
35.89,643,39.575,7.2,"WSA",7,6.90697
19.892,737.67,13.15,19.964,"OSH",10,9.37866
16.54,282,12.048,3.8,"SAV",3,3.5386
28.26,880,26.102,6.3,"WSA",7,11.072
23.82,102.6,7.105,8.1,"SAV",36,1.48393
30.83,730,30.708,3.4,"SAV",5,10.38
27.81,289,13.461,9.1,"WSA",7,9.2974
29.4,590.656,30.15,7.9,"WSA",40,8.95521
19.51,474.48,10.823,22.416,"CSH",31,6.58009
23.89,474.65,17.583,20.942,"CSH",31,5.93502
26.18,70,26.167,3.8,"SAV",2,1.60507
28.28,248,13.066,3.6,"SAV",5,14.4343
28.26,179,26.102,7.8,"WSA",7,7.36244
22.877,361.173,21.336,12.968,"OSH",23,0.8044
18.8,519,13.242,2.7,"SAV",3,4.79704
29.45,487,21.794,5,"SAV",6,11.2009
29.94,542.6,28.13,5.3,"WSA",39,11.9813
20.14,236,11.089,3.7,"SAV",5,11.2133
16.72,358,7.807,2.7,"SAV",3,6.63745
28.87,335,33.404,5.7,"WSA",7,6.13273
19.55,125.646,11.5,10.3,"WSA",40,2.37738
21.141,188.604,15.657,13.226,"OSH",22,1.02598
30.16,321,22.701,6.7,"WSA",7,7.55204
24.52,392,22.17,4,"SAV",6,8.51468
30.74,868,15.497,11.7,"SAV",5,29.3007
25.84,649,17.986,4,"SAV",6,9.39943
31.67,1121,40.612,6.7,"SAV",2,1.90994
21.51,689,17.71,8.8,"WSA",7,9.44448
35.71,636,40.355,6,"SAV",6,10.157
30.72,788,29.631,3.9,"SAV",5,19.7819
35.07,1024,33.875,5.5,"SAV",6,7.08887
30.95,315,36.296,3.2,"SAV",2,0.053239
27.77,490,13.43,6,"WSA",7,11.6105
27.9,1077,32.703,4.4,"SAV",2,1.59385
29.6,235.1,36.84,2.82,"WSA",39,1.47031
28.18,973,25.217,5.5,"SAV",2,12.6553
26.47,656,13.482,8.6,"WSA",7,11.3817
18.24,828.826,9.11,7.5,"WSA",40,9.81432
32.41,646,29.204,6.8,"SAV",5,14.1015
22.84,153.877,14.87,13.901,"WSA",40,3.3161
26.4,104.2,16.76,2.85,"WSA",39,1.73748
32.8,943,39.304,3.1,"SAV",5,7.95797
14.15,156,6.62,3.5,"SAV",3,0.543386
33.46,583,37.688,3.7,"SAV",5,14.3364
35.59,1060,31.375,6.7,"WSA",7,1.83473
29.52,791,26.837,3,"SAV",5,6.67904
27.82,290.258,24.1,9.2,"WSA",40,5.45524
29.74,946,33.17,5,"OSH",42,6.07174
21.48,951,18.19,3,"SAV",3,2.36579
28.56,654.07,13.788,18.5,"CSH",31,6.62495
19.18,921.073,10.54,9.5,"WSA",40,11.2423
27.85,83,14.992,10.1,"SAV",5,2.94797
23.2,106,19.057,4.2,"SAV",2,2.54332
37.08,268,47.278,4,"SAV",6,1.43304
16.34,857,14.72,4.46,"WSA",39,1.10215
28.33,88,24.281,7.6,"WSA",7,3.84561
32.57,761,39.291,4,"SAV",6,5.13941
30.09,658,16.638,8.7,"WSA",7,16.6923
25.47,673,23.787,3.2,"SAV",5,10.3976
25.94,607,27.139,4.4,"SAV",5,10.7919
28.67,542.8,33.92,2.12,"WSA",39,1.45104
31.62,716.5,43.12,3.38,"WSA",39,1.1367
26.92,795.9,26.95,3,"OSH",42,1.15145
27.39,649,19.338,4,"SAV",6,10.7316
