"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
25.517,66.467,7.073,39.484,"GRA",12,8.62316
7.99,785.42,6.259,48,"GRA",1,15.7492
23.9,569.53,13.995,33.64,"GRA",17,24.5044
21.731,374.42,11.82,19.411,"GRA",14,7.59795
23,378.2,9.9,34.4,"GRA",37,12.0395
22.7,540.95,10.967,29.79,"GRA",17,25.4505
10.703,458.77,6.608,35.962,"GRA",30,12.2326
11.359,772.05,9.987,49.688,"GRA",12,24.6524
13.299,657.21,7.58,30.094,"GRA",41,12.2147
7.27,201.65,5.149,29,"GRA",1,22.2986
20.695,205.27,9.472,40.603,"GRA",14,11.3135
19.777,669.63,10.658,48.751,"GRA",30,25.7745
32.82,800,25.9,13.4,"GRA",4,16.3303
25.02,665.647,18.75,9.49,"GRA",38,6.69341
13.773,674.5,8,43.547,"GRA",17,15.8476
22.48,970.36,16.983,35,"GRA",1,0.564129
24.25,783,11.541,44.5,"GRA",15,31.9202
19.41,590.9,12.895,25.875,"GRA",15,14.4724
30.52,149,28.421,16.6,"GRA",8,2.43746
25.3,377.8,13.935,31.6,"GRA",15,24.1627
30.534,329.74,21.808,44.354,"GRA",12,10.2128
16.28,129.39,5.214,26.66,"GRA",17,7.60741
27.78,570,7.839,13.9,"GRA",4,27.1476
22.194,56.251,7.33,39.41,"GRA",12,13.7813
14.91,609.7,6.02,40.175,"GRA",15,24.3115
36.66,985,40.663,18.2,"GRA",8,2.92061
16.282,631.88,6.61,24.33,"GRA",14,34.1581
29.7,454.6,18.973,35.73,"GRA",17,21.707
15.56,387.16,8.66,22.751,"GRA",41,14.0757
32.36,769,24.268,24.4,"GRA",8,6.70764
28.17,697,11.074,23.6,"GRA",8,6.54265
23.61,441.23,21.313,21.48,"GRA",17,20.0805
16.653,531.633,10.793,42.81,"GRA",17,16.9201
28.65,513.5,28.01,16,"GRA",43,1.82931
22.45,792.033,13.712,24.053,"GRA",17,20.073
20.776,948.45,9.98,15.121,"GRA",41,14.5685
21.073,854.49,11.316,19.47,"GRA",14,8.24524
34.87,1080,31.828,13.8,"GRA",4,19.336
24.43,601.3,16.49,19,"GRA",43,2.76025
35.39,621,43.673,20.5,"GRA",8,6.95558
16.94,229.85,8.434,30,"GRA",1,26.3963
13.473,128.7,7.401,56.688,"GRA",12,11.0986
18.862,832.97,13.59,11.521,"GRA",41,17.1029
22.48,896,8.058,46.575,"GRA",15,40.2857
29.97,1086,24.15,21,"GRA",8,7.26328
16.972,789.66,8.365,32.58,"GRA",30,14.5562
30.86,748,17.386,15.1,"GRA",4,23.6803
16.7,148.8,6.86,32.701,"GRA",37,7.51298
33.35,1013,21.55,8.9,"GRA",4,29.3012
25.655,933.96,16.326,50.627,"GRA",12,32.6506
19.012,374.495,7.325,38.627,"GRA",30,22.1413
16.66,994,13.256,30.753,"GRA",33,15.8794
20.322,784.59,12.46,25.954,"GRA",41,17.0351
17.428,297.864,8.907,28.851,"GRA",1,18.9836
17.336,436.21,12.075,53.514,"GRA",12,22.5983
23.83,319.2,12.048,31.6,"GRA",15,23.4461
27.6,634.1,9.83,40.6,"GRA",37,30.4966
16.64,922.77,12.227,34.928,"GRA",1,34.1431
18.181,361,10.34,34.487,"GRA",41,10.739
18.171,390.29,9.91,23.683,"GRA",41,10.3943
19.522,657.78,5.882,32.731,"GRA",14,42.6658
25.8,781,18.51,39.3,"GRA",37,10.039
16.805,720.958,8.048,31.124,"GRA",1,24.7764
34.13,781,39.122,21,"GRA",8,5.19384
19.278,149.33,12.237,36.017,"GRA",14,16.9849
22.834,975.73,12.63,13.954,"GRA",41,17.6768
27.02,428,12.497,16.7,"GRA",8,4.38568
21.59,752.4,9.68,18,"GRA",43,6.42112
32.67,882,18.768,15.1,"GRA",4,16.5368
18.66,574.7,5.961,24.3,"GRA",15,20.3184
13.2,895,10.68,36.4,"GRA",37,14.6574
21.044,164.6,7.255,34.381,"GRA",14,8.98102
24.9,836,11.333,31.8,"GRA",15,17.3665
16.98,507.69,12.087,35,"GRA",1,17.4038
30.51,387,17.043,25.4,"GRA",8,4.26908
32.69,73.21,33.055,22.41,"GRA",17,9.61386
21.947,432.66,8.537,34.83,"GRA",12,23.5378
22.25,829,8.757,29.625,"GRA",15,23.7224
18.437,286.918,13.465,19.021,"GRA",1,26.0327
10.55,618.3,5.669,57.068,"GRA",12,16.8659
27.088,631.61,14.049,43.899,"GRA",12,34.5722
16.6,1007,11.544,41.675,"GRA",15,9.33366
32.69,687,22.251,13.1,"GRA",4,30.3368
24.21,231.5,19.057,36.057,"GRA",17,16.4156
26.2,550.2,9.46,33.9,"GRA",37,16.825
18.87,412.2,13.758,44.775,"GRA",15,19.8339
16.13,695.33,10.037,29.08,"GRA",17,27.2501
16.171,417.1,12.73,15.561,"GRA",41,16.1055
11.677,175.4,5.849,58.478,"GRA",12,14.7291
15.177,512.16,6.35,59.709,"GRA",12,32.1151
22.61,897,15.998,21,"GRA",17,25.3492
14.519,887.77,10.22,15.805,"GRA",41,25.6358
14.231,775.45,7.351,47.028,"GRA",14,31.1017
13.657,57.512,6.61,20.552,"GRA",41,3.49534
23.049,313.87,8.646,47.6,"GRA",12,17.231
23.6,135.1,15.56,33.8,"GRA",37,8.49041
18.224,765.21,5.151,46.847,"GRA",30,28.2657
23.953,254.167,13.785,29.26,"GRA",17,7.08192
31.97,416,27.063,15.7,"GRA",8,8.73625
31.67,1028,18.205,14.6,"GRA",4,22.1442
26.3,288,5.134,24.5,"GRA",8,6.29789
26.56,881,18.384,16.3,"GRA",15,10.1164
9.7,887,8.52,37.3,"GRA",37,11.8168
20.66,601.6,9.102,27.675,"GRA",15,18.3405
18.24,121.97,7.197,34.62,"GRA",17,11.7554
12.4,231.4,5.858,38,"GRA",1,8.98385
17.54,272.3,8.694,46.75,"GRA",17,22.8644
16.89,753.97,8.057,25,"GRA",1,32.679
22.75,168.367,15.994,34.337,"GRA",17,7.81712
29.68,701,15.418,24.7,"GRA",8,10.1692
27.08,141.933,19.431,18.57,"GRA",17,9.50235
18.91,147.87,16.823,32.37,"GRA",17,7.45482
18.782,651.594,9.604,29.89,"GRA",1,17.1844
26.07,403.3,18.023,41.275,"GRA",15,9.65711
31.71,707,19.65,17.4,"GRA",8,6.74208
20.3,706,12.65,34.4,"GRA",37,20.3669
18.106,924.02,7.069,37.967,"GRA",14,16.9349
11.527,733.04,7.887,56.316,"GRA",12,24.0989
23.68,676.4,7.788,42.1,"GRA",15,9.02276
32.429,855.96,31.617,30.789,"GRA",12,13.2282
15.992,824.07,6.747,42.902,"GRA",14,30.0184
19.48,798,11.4,26.325,"GRA",15,14.1454
25.872,971.3,24.73,23.203,"GRA",41,22.4189
