"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
21.08,277.336,17.53,31.3,"WSA",40,6.82496
14.15,162,6.087,37.83,"CSH",31,4.65397
21.51,900.397,17.31,30.3,"WSA",40,13.7228
31.53,63.04,35.56,7,"OSH",42,1.01974
19.34,500.198,13.93,30.9,"WSA",40,15.1952
32.9,1020,29.519,9.1,"SAV",6,15.6785
29.5,374,10.722,19.7,"WSA",7,16.4762
10.7,275.1,9.81,25,"OSH",11,1.2785
28.85,860,14.697,18.6,"WSA",7,19.6181
24.68,393.4,14.79,7.88,"WSA",39,5.2399
31.83,785,20.255,13.6,"WSA",7,17.6071
31.12,1015,18.098,13.6,"WSA",7,24.9491
21.59,674.9,8.94,10,"OSH",42,0.826244
36.44,638,39.568,10.6,"SAV",6,4.88784
30.56,808,14.9,19.2,"WSA",7,31.6867
19.88,509.94,12.2,18.9,"WSA",40,10.3722
28.11,921,25.02,10,"OSH",42,5.86311
31.79,700,22.559,13.6,"WSA",7,15.5622
13.89,735.984,6.29,29,"WSA",40,16.8849
26.97,414.8,26.57,7.67,"WSA",39,3.23818
14.188,634.055,6.44,36.937,"OSH",10,10.9338
26.6,447,5.225,23.3,"WSA",7,45.8327
30.5,880,18.343,16,"WSA",7,21.6911
29.49,241,12.777,19.4,"WSA",7,11.6351
34.75,992,26.07,16.5,"WSA",7,15.9648
28.65,461,10.994,15,"SAV",6,15.3111
15.344,637.52,11.271,34.624,"OSH",22,3.65197
23.745,496.584,21.634,17.191,"OSH",23,3.15441
26.41,711.8,17.78,7,"OSH",42,4.06248
30.84,673,16.476,14.2,"WSA",7,26.069
34.38,610,28.258,14,"WSA",7,13.9489
31.7,156,13.093,16.6,"WSA",7,10.5123
28.9,895,22.11,9,"OSH",42,8.42532
9.5,260.832,5.283,36.638,"OSH",23,1.07234
31.44,1035,19.812,10.8,"WSA",7,26.2481
11.98,289.5,5.591,33.98,"CSH",31,6.22342
23.04,728.28,16.001,35.85,"CSH",31,8.61966
25.23,766.3,17.89,6.22,"WSA",39,9.08024
32.87,738,23.476,15.1,"WSA",7,20.6957
16.603,528.216,12.774,27.094,"OSH",23,4.82881
16.396,526.24,9.422,21.194,"OSH",22,0.326341
27.39,812.723,26.38,23.8,"WSA",40,8.90644
31.54,780,18.998,15.4,"WSA",7,18.2006
15.5,214.3,5.04,22,"OSH",11,2.00303
29.66,900,24.973,19.7,"WSA",7,14.6287
20.66,663.817,12.65,27.801,"WSA",40,10.8201
13.812,70.148,5.531,25.944,"OSH",22,1.49176
32.24,897,19.284,21.2,"WSA",7,18.3839
15.73,388.56,7.097,30.426,"CSH",31,10.9408
13.989,76.96,5.738,18.297,"OSH",22,1.55705
12.33,368.97,6.739,38.444,"CSH",31,6.29348
28.62,892,13.327,17.2,"WSA",7,32.8899
30.61,651,16.261,21.1,"WSA",7,17.129
30.21,506,13.746,9.4,"WSA",7,22.6722
27.68,65.21,20.75,7,"OSH",42,1.22912
30.02,136,11.472,16.7,"WSA",7,7.27591
32.71,706.3,36.06,9,"OSH",42,7.1885
22.23,307.4,8.33,8.261,"WSA",39,3.96278
15.02,808.349,10.39,19,"WSA",40,12.7509
21.91,822.663,18.31,25.901,"WSA",40,13.6362
30.25,310,17.652,15.4,"WSA",7,10.1572
30.5,499,14.412,9.2,"WSA",7,11.4816
33.55,994,26.981,12.9,"WSA",7,16.1685
16.195,318.76,8.131,14.512,"OSH",22,3.83397
29.55,82,12.408,15.5,"SAV",6,1.03613
24.82,357,6.897,11.5,"WSA",7,17.2369
16.82,978.536,14.916,32.275,"OSH",23,2.40287
16.16,755.864,11.22,19.1,"WSA",40,10.0144
26.06,730.05,9.111,31.159,"CSH",31,9.20991
30.2,277,9.874,19.3,"WSA",7,10.842
21.09,556.262,12.97,24.6,"WSA",40,13.2306
21.2,56.83,8.02,9,"OSH",42,1.48411
26.84,930.019,20.24,15.1,"WSA",40,11.1976
29.89,822,34,7.05,"WSA",39,9.50282
16.854,389.74,6.562,26.087,"OSH",22,2.59455
24.76,707.952,13.28,35.6,"WSA",40,12.2148
33.97,879,33.906,12,"SAV",36,12.0644
32.95,1028,23.581,12.4,"WSA",7,20.1389
15.81,822.744,7.432,18.523,"OSH",23,2.64364
31.25,685,22.335,15.8,"WSA",7,8.73202
27.48,521,13.205,9.7,"WSA",7,14.2007
16.118,634.192,6.227,14.735,"OSH",23,2.76497
31.21,596,25.013,14.6,"WSA",7,13.3347
30.27,556,21.121,9.9,"WSA",7,17.5597
15.94,308.204,8.416,15.57,"OSH",23,3.0321
19.47,332.207,15.29,36,"WSA",40,12.2455
22.12,816.103,15.97,17,"WSA",40,18.4411
18.5,230.3,16.17,22,"OSH",11,1.45945
26.83,328,5.649,15.4,"SAV",6,2.9242
14.273,452.364,5.937,21.25,"OSH",23,2.21631
13.29,840.357,7.24,22.3,"WSA",40,13.4379
29.24,751,16.657,14.9,"WSA",7,19.3267
25.1,199.205,21.87,25.3,"WSA",40,5.54255
