"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
30.84,584,17.812,14.8,"WSA",7,25.2465
19.5,316.7,12.99,20.6,"WSA",40,8.65059
31,658,17.076,17,"WSA",7,20.4401
14.36,296.78,5.549,30.263,"CSH",31,8.17538
13.87,561.53,5.312,40.654,"CSH",31,6.53441
26.52,537.4,15,6.94,"WSA",39,11.9644
20.777,497.397,14.8,15.245,"OSH",23,3.52154
15.02,487.674,7.83,40.2,"WSA",40,8.50956
23.456,984.36,20.934,16.92,"OSH",23,2.79762
21.8,242,14.5,19,"OSH",11,6.22358
30.65,638,15.417,15.6,"WSA",7,28.4948
24.85,112.2,11.99,9,"OSH",42,1.41828
30.96,421,14.796,16.1,"WSA",7,16.0755
32.39,63,30.143,12.9,"WSA",7,3.02466
24.5,873,21.24,21,"OSH",11,9.24741
29.34,717,13.484,19.5,"WSA",7,26.863
15.45,580.17,5.045,42.544,"CSH",31,15.9857
18.9,875,10.83,23,"OSH",11,6.7655
23.6,774,22.7,22,"OSH",11,2.04403
30.58,88,16.672,13.3,"WSA",7,7.0841
27.11,872,20.2,8,"OSH",42,1.25642
15.49,463.91,8.661,37.398,"CSH",31,6.83526
34.34,434,33.617,15.1,"WSA",7,7.40154
30.49,573,13.968,16.1,"WSA",7,22.4111
31.69,886,22.899,12.2,"WSA",7,15.0882
24.7,848,20.47,20,"OSH",11,14.7477
13.933,407.499,5.13,64.211,"OSH",10,13.9379
21.67,620.83,8.346,27.94,"CSH",31,7.52869
32.19,675,24.517,10,"SAV",6,13.5442
4.428,51.636,5.322,26.649,"OSH",22,0.707129
14.498,696.842,9.737,24.175,"OSH",23,3.27915
20.6,336.5,8.31,20,"OSH",11,10.6106
29.62,718,16.195,13.3,"WSA",7,15.2731
27.83,641,8.236,22.8,"WSA",7,19.7722
27.11,501,6.102,16,"SAV",6,6.49949
27.48,286,7.336,19.1,"WSA",7,32.3912
28.32,553,6.934,17.9,"WSA",7,27.1225
32.52,398.2,25.222,13.5,"SAV",36,8.14148
20.266,823.711,15.909,14.771,"OSH",23,2.75719
21.74,477.534,15.13,30.4,"WSA",40,4.42735
28.04,654,10.232,14.5,"WSA",7,7.31829
13.23,134.791,8.85,48.2,"WSA",40,3.93696
16.1,432.15,6.699,36.53,"CSH",31,10.6007
32.58,799,20.148,18.1,"WSA",7,25.5488
26.48,533,12.452,13.6,"WSA",7,2.883
14.5,377.3,5.19,21,"OSH",11,4.26504
33.81,824,19.479,16.3,"WSA",7,37.6954
24.23,380,9.41,8,"OSH",42,11.4662
30.49,704.81,24.051,30.101,"CSH",31,6.87559
14.33,466,6.698,6.1,"SAV",3,4.72504
11.384,54.288,5.687,35.176,"OSH",22,0.688924
32.67,700,23.707,13.5,"WSA",7,17.406
20.28,522.664,11.43,29.3,"WSA",40,16.6977
34.04,877,24.529,16.4,"WSA",7,21.0826
24.73,92.5,13.88,8,"OSH",42,1.11841
15.616,995.28,10.1,34.032,"OSH",23,0.464797
27.51,457,8.084,21.2,"WSA",7,26.9438
23.73,553.7,10.68,10,"OSH",42,1.70398
31.41,953,16.099,19.5,"WSA",7,12.8718
27.52,815,21.324,9.9,"WSA",7,15.1429
30.95,407,14.339,11.8,"WSA",7,20.4391
13.003,201.968,5.708,30.086,"OSH",22,2.93092
34.51,1061,30.652,10.4,"WSA",7,16.5341
32.35,1052,25.71,14.8,"SAV",6,13.4844
27.84,734.7,20.25,9.31,"WSA",39,1.57825
14.03,367.25,6.774,20.665,"OSH",23,3.34046
22.1,707,12.96,18,"OSH",11,8.06145
31.28,707,14.154,18.1,"WSA",7,17.4869
26,461.864,21.128,15.604,"OSH",23,1.76176
25.86,801,26.08,8,"OSH",42,7.75538
17.084,377,7.918,20.167,"OSH",22,2.55074
25.86,523.856,21.93,26.6,"WSA",40,13.5222
28.55,88,17.567,12.5,"WSA",7,1.71242
30.58,665,13.601,17.6,"WSA",7,19.6289
30.18,1005,15.009,17.5,"SAV",6,7.49911
30.39,890,16.058,8,"SAV",6,16.4809
17.607,428.193,5.98,26.129,"OSH",10,17.4349
26.05,282,7.756,20,"WSA",7,15.657
31.41,648,15.179,18,"WSA",7,23.8154
17.6,97.614,7.45,31.5,"WSA",40,1.76881
20.13,284.692,18.03,35.9,"WSA",40,7.2652
22.042,855.024,15.76,59.17,"OSH",10,8.43703
14.4,420.2,7.76,24,"OSH",11,9.34908
17.56,195.32,9.117,33.118,"CSH",31,5.81085
30.21,970,32.87,10,"OSH",42,2.35784
29.87,382,14.744,17.5,"WSA",7,14.8695
10.38,114.1,5.594,35.993,"CSH",31,3.38115
14.525,130.936,5.674,30.48,"OSH",22,1.73957
26.03,264,7.41,13.7,"WSA",7,6.7423
20.6,107.5,16.86,22,"OSH",11,0.413184
21.91,903.777,15.01,35.5,"WSA",40,16.1051
15.79,928.23,6.78,28.3,"WSA",40,25.3734
23.089,768.874,19.68,49.923,"OSH",10,9.58316
16.42,383.499,8.82,32.701,"WSA",40,15.8917
29.15,990,12.933,14.5,"WSA",7,24.9997
32.71,693,17.821,11.4,"WSA",7,18.3764
33.38,406,28.782,9.3,"WSA",7,5.86474
22.922,219.943,10.27,33.436,"OSH",10,9.63939
14.51,318.11,6.942,34.461,"CSH",31,6.22375
10.55,574.5,7.03,10,"OSH",42,0.871111
26.49,435.9,21.51,7,"OSH",42,4.21134
30.29,736,28.049,8,"SAV",6,12.1952
30.94,748,19.705,15.8,"WSA",7,13.8533
30.76,757,19.504,15.7,"WSA",7,22.2594
31.21,246,15.917,17.5,"WSA",7,14.7351
30.25,559,14.638,10.7,"WSA",7,10.7587
30.5,836,16.159,10.3,"WSA",7,22.1304
32.55,155,19.623,16.1,"WSA",7,10.5556
14.65,297.813,8.39,42.5,"WSA",40,6.30164
29.23,421,12.993,17.7,"WSA",7,27.0625
27.74,281,10.055,19.9,"WSA",7,13.7885
19.43,954.274,14.45,21.2,"WSA",40,16.2913
32.56,1057,27.979,16,"SAV",6,14.1826
32.56,528,18.162,12.3,"WSA",7,14.0872
22.92,361.784,9.42,27.556,"OSH",10,7.82688
23.8,682,16.08,25,"OSH",11,6.35759
25.37,316,6.478,16.9,"WSA",7,6.47953
13.945,598.224,6.168,30.34,"OSH",23,3.32796
15.88,390.52,8.23,21.147,"OSH",22,1.03122
30.27,647.75,26.92,9.5,"OSH",42,0.542369
20.395,141.157,11.9,31.042,"OSH",10,5.14287
14.684,494.52,11.294,17.8,"OSH",22,2.6286
17.677,217.62,8.812,18.686,"OSH",22,0.945561
24.89,706.03,18.29,32.23,"CSH",31,7.53673
14.12,597,5.64,6.1,"SAV",3,1.23899
17.9,736.2,13.51,26,"OSH",11,5.08224
30.4,116,13.896,16.9,"WSA",7,5.22978
13.54,396.66,5.897,30.973,"CSH",31,10.5332
29.96,69,15.244,9.8,"WSA",7,1.89374
21.595,514.141,16.22,54.325,"OSH",10,5.94302
14.772,694.72,5.937,22.659,"OSH",22,2.14494
30.15,240,14.983,15.1,"SAV",6,6.33467
32.08,685,19.588,11.4,"WSA",7,20.3079
29.07,847.315,28.34,23.9,"WSA",40,15.8124
25.27,153.3,6.633,12.8,"SAV",36,5.23766
10.943,640.141,8.563,19.1,"OSH",23,3.23955
31.89,757,18.433,15.9,"WSA",7,36.5936
16.47,127,7.309,7,"SAV",3,0.815537
17.461,711.88,9.298,18.008,"OSH",22,2.07451
27.77,642,10.073,17.4,"WSA",7,27.7026
18.33,754.671,11.79,32.801,"WSA",40,8.071
22.82,335.81,9.868,27.94,"CSH",31,7.97494
30.54,362,18.385,17.6,"WSA",7,19.2994
31.43,969,26.709,9.5,"WSA",7,13.9105
32.27,373,15.936,16,"WSA",7,15.5744
27.36,1034,18.4,9.181,"WSA",39,12.85
18.96,242.346,8.08,32.1,"WSA",40,9.96761
30.19,805,31.322,9.8,"WSA",7,7.10295
29.95,582,13.966,8,"SAV",6,7.59108
31.5,787,22.654,9.7,"WSA",7,14.3927
16.73,712.326,10.97,28.6,"WSA",40,8.65546
28.79,368,13.063,13,"SAV",6,12.8995
29.14,659,24.31,6.24,"WSA",39,5.19929
16.09,703.379,13.31,37,"WSA",40,12.7293
32.71,982,24.256,16.9,"WSA",7,20.8152
31.04,646,17.566,15.3,"WSA",7,11.9179
31.04,556,13.062,11,"WSA",7,23.0081
20.8,835.188,9.16,20.5,"WSA",40,15.2621
32.19,687,22.113,14,"WSA",7,16.3598
25.28,110.8,11.84,9.81,"WSA",39,2.94944
16.81,560.88,6.128,35.139,"CSH",31,14.9441
25.49,366.2,16.3,10,"OSH",42,1.49209
7.3,105,5.94,30,"OSH",11,1.1078
29.56,912,12.415,21.5,"WSA",7,23.2319
26.95,843,9.956,20.9,"WSA",7,31.9369
