"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
36.65,807,38.178,5.2,"GRA",4,11.3782
20.951,341.37,14.742,17.77,"GRA",17,19.2136
22.71,644.1,25.3,13,"GRA",43,3.41037
23.436,665.166,8.484,8.634,"GRA",16,18.7038
28.1,651.826,35.34,2.43,"GRA",38,2.13197
26.674,91.908,30.55,0.5,"GRA",43,1.1253
21.81,1048.42,23.54,0.5,"GRA",43,2.7147
35.09,873,40.13,6.3,"GRA",4,8.89292
23.06,769.9,11.3,14.001,"GRA",43,10.1776
19,411,6.4,29.5,"GRA",37,24.0409
33.23,826.957,38.24,4.27,"GRA",38,3.2282
29.23,599.2,27.78,11,"GRA",43,4.8742
22.255,176.81,13.7,6.115,"GRA",41,9.26605
35.25,470,32.503,5.9,"GRA",4,9.32234
18.67,782.9,16.06,4,"GRA",43,2.76624
24.68,267.826,20.32,5.55,"GRA",38,4.60397
28.31,859,23.098,7.8,"GRA",8,6.74056
25.074,466.23,25.07,9.102,"GRA",41,5.22921
20.9,726,11.54,29.3,"GRA",37,21.7015
30.7,660.9,30.39,14.6,"GRA",37,18.7048
21.74,164.696,16.02,4.97,"GRA",38,3.16791
27.2,733.913,15.89,5.05,"GRA",38,4.70916
22.92,583.7,12.2,13,"GRA",43,4.1267
21.61,66.36,11.662,12,"GRA",1,6.41669
34.21,490.174,38.13,5.18,"GRA",38,8.33822
28.77,806.37,25.146,10,"GRA",1,32.2735
26.64,490.7,29.83,12,"GRA",43,2.87076
18.979,854.322,14.626,10.362,"GRA",1,36.5896
33.99,998,31.374,9.5,"GRA",8,8.56604
20.74,782.9,12.05,2.33,"GRA",43,7.5333
34.53,114.174,42.94,3.15,"GRA",38,1.51044
15.22,219.983,12.66,0,"GRA",43,0.580636
17.341,820.131,12.679,8.924,"GRA",1,47.1969
29.59,214.393,32.06,10,"GRA",43,3.63132
16.8,365.324,8.339,15.107,"GRA",33,13.6791
27.93,481.5,33.55,7,"GRA",43,2.60392
15.34,354.708,6.327,17.45,"GRA",33,10.6455
30.71,1006.09,28.55,4.34,"GRA",38,5.39349
28.85,385,31.99,10,"GRA",43,2.56459
31.83,626,20.726,6.5,"GRA",4,25.6048
20.37,335.3,5.62,11,"GRA",43,6.13265
20.991,302.16,7.022,21.255,"GRA",16,16.8517
23.24,520,15.397,12.9,"GRA",8,8.94027
15.25,660.093,7.971,17.493,"GRA",33,17.9754
23.429,799.87,13.89,11.077,"GRA",41,22.531
23.72,524,12.56,12,"GRA",43,5.61944
30.4,191.044,32.58,3.83,"GRA",38,3.37325
