"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
22.84,61.5,8.879,9.455,"ENF",32,4.01292
21.86,735,10.47,5.9,"ENF",34,31.9133
20.8,804,7.311,18.2123333333333,"ENF",32,33.8814
21.64,603.2,8.254,18.7883333333333,"ENF",32,25.3803
25.88,788,16.452,5.43333333333333,"ENF",34,20.1293
12.88,334.6,5.219,6.3,"ENF",34,2.72918
19.07,486.9,9.045,5.87666666666667,"ENF",34,21.2344
21.51,169.2,9.332,12.077,"ENF",32,8.50981
17.9,681.4,7.008,4.9,"ENF",34,31.503
15.89,335.27,8.445,13.7533333333333,"ENF",20,20.6988
20.293,584.86,11.258,3.33666666666667,"DBF",44,11.0864
23.245,645.971,9.552,13.1646666666667,"ENF",32,13.8686
21.01,900,14.833,4.56666666666667,"ENF",34,10.7455
17.4,250.1,9.119,7.86666666666667,"ENF",34,8.51896
30.27,920,14.082,17.3333333333333,"EBF",26,21.6406
28.82,792,10.587,18,"EBF",26,30.9025
28.38,684.593,9.997,12.0916666666667,"ENF",32,13.1325
22.27,689.6,15.405,4.76666666666667,"ENF",34,16.1131
22.38,62.63,8.093,12.73,"ENF",25,7.81272
26.89,247.1,7.618,15.3333333333333,"EBF",26,17.9708
22.12,707.63,14.333,12.6203333333333,"ENF",25,16.683
26.99,530.8,10.657,20,"EBF",26,26.5012
10.78,248.99,5.563,17.3546666666667,"ENF",24,14.1283
29.69,772,12.816,16.6666666666667,"EBF",26,31.4191
27.56,790.62,17.932,7.22666666666667,"DBF",44,14.7762
16.81,574,5.803,6,"ENF",34,21.0045
13.57,127.5,5.133,5.7,"ENF",34,6.36856
22.98,749.46,15.426,20.46,"DBF",18,34.6147
17.77,577.8,6.288,4.23333333333333,"ENF",34,13.657
19.82,797,7.818,4.9,"ENF",34,21.6013
16.52,349,5.998,5.03333333333333,"ENF",34,17.8853
14.97,203.8,7.413,4.73333333333333,"ENF",34,12.5562
11.84,563.62,7.136,12.5616666666667,"ENF",25,17.4045
17.78,374.66,7.882,26.13,"DBF",18,23.8085
19.72,641.8,9.73,6.63333333333333,"ENF",34,16.7578
29.58,618.2,15.702,20.8,"EBF",26,14.1366
23.057,383.47,8.627,3.441,"DBF",44,16.625
10.62,210.08,5.317,13.114,"ENF",24,9.20001
28.71,780.317,20.957,11.83,"ENF",35,13.1015
27.56,638.4,10.267,11.019,"ENF",32,11.7975
27.27,495.49,27.623,20.62,"DBF",18,11.6358
20.85,373.2,12.083,4.2,"ENF",34,8.74993
18.92,599.1,8.243,6.86666666666667,"ENF",34,24.628
29.193,870.677,22.969,3.481,"DBF",44,15.2553
16.27,145.3,6.95,5.26,"ENF",34,12.7983
26.84,592.738,8.974,13.421,"ENF",32,13.0327
27.392,786.24,15.248,13.6126666666667,"ENF",32,28.0396
25.07,808,22.458,4.73333333333333,"ENF",34,8.56049
27.94,141.4,9.457,18.6666666666667,"EBF",26,12.0049
32.02,777,28.511,3.23333333333333,"ENF",34,29.9109
30.68,474.9,29.021,4.1,"ENF",34,5.35786
24.71,223.16,17.235,18.6473333333333,"ENF",24,10.7852
13.11,99.518,5.491,19.1186666666667,"ENF",24,4.87172
26.96,652.3,10.14,22,"EBF",26,42.4455
22.579,595.296,14.126,21.7023333333333,"ENF",32,13.9755
30.31,667.4,12.399,21.3333333333333,"EBF",26,33.0668
18.21,401.7,11.703,6.3,"ENF",34,20.3936
26.06,514.37,14.24,10.0783333333333,"ENF",25,10.4855
18.45,183.9,5.755,4.4,"ENF",34,20.8045
31.078,531.648,21.427,26.9653333333333,"ENF",32,13.6259
27.31,179.8,7.227,20.3333333333333,"EBF",26,23.2545
27.37,284.1,9.512,15,"EBF",26,15.9736
29.1,715.377,19.8,4.31133333333333,"DBF",44,17.25
27.341,949.104,20.008,13.0236666666667,"ENF",32,22.6966
20.7,619.9,11.051,4.03333333333333,"ENF",34,17.5165
13.32,121.407,6.087,16.3953333333333,"ENF",24,8.30099
10.496,57.461,5.358,9.27833333333333,"ENF",32,4.29619
21.99,820,13.332,5.46666666666667,"ENF",34,15.2271
22.886,861.12,8.961,26.6136666666667,"ENF",32,41.4104
26.807,460.44,10.767,10.2843333333333,"DBF",44,16.1346
24.22,504.8,14.224,5.926,"ENF",34,12.736
29.39,772,14.589,10.3333333333333,"EBF",26,22.086
30.17,746,17.953,17,"EBF",26,26.759
24.43,540,9.928,10.229,"ENF",32,13.6411
15.71,420.9,7.308,5.83333333333333,"ENF",34,16.8849
16.93,417.6,6.407,12.229,"ENF",25,24.8456
17.6,364.94,6.142,14.746,"ENF",24,14.9502
28.97,764,13.839,18.3333333333333,"EBF",26,39.1536
26.368,631.8,11.543,26.788,"ENF",32,22.6938
31.44,211.14,23.544,10.8156666666667,"ENF",25,5.29882
28.109,779.688,14.711,15.535,"ENF",32,16.5574
26.08,720,17.31,5.7,"ENF",34,25.1355
27.47,431.7,8.468,10,"EBF",26,23.4735
7.72,814,5.576,8.86666666666667,"ENF",34,17.0924
27.06,488.6,9.591,19.3333333333333,"EBF",26,15.2025
27.58,462.1,7.859,11.6666666666667,"EBF",26,13.4215
21.07,520.82,9.119,16.9643333333333,"ENF",24,17.6078
19.2,296.595,8.593,20.5843333333333,"ENF",32,19.589
29.32,889,14.44,18.6666666666667,"EBF",26,29.746
15.88,514.63,6.054,23.7666666666667,"DBF",18,29.5638
29.19,542.3,12.87,9.33333333333333,"EBF",26,29.7792
21.43,184.3,9.352,14.0843333333333,"ENF",32,14.0206
30.14,481.5,12.022,16.9,"EBF",26,31.4212
28.69,714,11.137,9.33333333333333,"EBF",26,28.9726
29.42,778,15.521,19.6666666666667,"EBF",26,24.3835
29.42,768,11.905,19.3333333333333,"EBF",26,29.6102
14.47,178.9,6.065,8,"ENF",34,12.6218
24.74,951.2,5.417,14.818,"ENF",32,31.2606
21.19,361.85,8.608,12.3276666666667,"ENF",25,15.788
22.835,533.52,10.216,25.1413333333333,"ENF",32,28.5514
28.68,315.407,13.253,12.6956666666667,"ENF",32,6.10523
18.56,300.29,7.696,24.9766666666667,"DBF",18,20.6368
14.95,287,7.376,5.1,"ENF",34,9.15535
27.54,51.78,6.11,17.7333333333333,"EBF",26,3.32385
26.72,355.2,5.438,10,"EBF",26,26.6561
29.51,861,16.035,10.6666666666667,"EBF",26,29.1303
19.35,414.71,7.997,14.7663333333333,"ENF",24,18.0648
28.2,387.6,10.252,19.3333333333333,"EBF",26,19.3937
13.37,484.3,6.162,5.96666666666667,"ENF",34,3.81307
15.32,553.1,5.556,5.63333333333333,"ENF",34,12.026
26.62,837,24.197,5.53333333333333,"ENF",34,9.69769
29.2,1129.72,20.523,4.26233333333333,"DBF",44,20.9187
15.17,256.15,5.017,14.414,"ENF",24,15.5262
19.11,802,10.344,4.53333333333333,"ENF",34,26.6989
23.12,759,11.991,7.23333333333333,"ENF",34,23.1615
11.76,220,8.319,6.3,"ENF",34,9.40488
18.502,858,14.012,4.2,"ENF",34,14.3864
19.57,888,11.699,5.26666666666667,"ENF",34,14.2139
15.3,232.4,7.632,20.851,"ENF",32,10.1985
26.35,511.874,5.029,13.0196666666667,"ENF",32,19.272
15.71,418.93,10.811,15.388,"ENF",24,16.5429
24.73,489.528,7.122,16.205,"ENF",32,19.1044
10.97,54.4,6.631,22.91,"DBF",18,3.72171
25.856,768.954,24.789,7.902,"ENF",32,15.1004
17.21,573.5,5.337,6.56666666666667,"ENF",34,18.8378
29.03,738,12.759,11,"EBF",26,26.9838
24.13,878,18.262,4.5,"ENF",34,15.5064
27.76,713,9.209,12.6666666666667,"EBF",26,20.8966
23.68,304.1,17.336,4.6,"ENF",34,12.5663
17.91,539.16,11.279,24.0366666666667,"DBF",18,20.469
33.09,885.5,33.224,10.8673333333333,"ENF",25,7.20309
26.81,216.4,6.912,17.3333333333333,"EBF",26,13.088
27.93,546.8,9.979,19.6666666666667,"EBF",26,24.7959
29.389,856.44,22.052,16.4993333333333,"ENF",32,10.4694
23.78,406.8,12.46,7.3,"ENF",34,17.5038
26.28,892,22.281,5.2,"ENF",34,15.7988
20.85,91.9,12.448,4.63333333333333,"ENF",34,5.65698
27.085,874.224,12.224,13.2246666666667,"ENF",32,26.8718
25.897,133.23,18.438,3.431,"DBF",44,7.83585
26.9,916,5.448,11.872,"ENF",32,12.0719
26.34,93.131,13.597,9.86433333333333,"ENF",32,3.1743
25.549,269.217,11.081,15.81,"ENF",32,13.6953
24.02,639.5,13.594,4.9,"ENF",34,19.826
22.61,877,17.154,3.36666666666667,"ENF",34,19.5834
24.35,104.7,5.486,8.16666666666667,"ENF",34,4.89872
9.903,231.987,5.104,1.892,"DBF",44,1.82957
23.217,328.503,9.293,6.28,"DBF",44,14.4311
19.34,653.1,8.628,4.96666666666667,"ENF",34,11.8577
24.33,371.227,11.144,3.402,"DBF",44,16.1988
28.826,161.46,11.355,27.435,"ENF",32,7.53591
20.18,531.2,7.493,6.26666666666667,"ENF",34,23.7834
25.3,598.4,23.828,4.76666666666667,"ENF",34,7.27058
32.13,105.28,36.603,12.54,"ENF",25,6.09889
18.8,262.8,8.828,5.6,"ENF",34,13.4416
24.37,582.16,12.393,19.72,"DBF",18,24.3779
17.1,236.1,10.406,7.4,"ENF",34,5.16987
22.49,789,11.144,5.3,"ENF",34,16.8898
12.03,433.19,5.215,12.3446666666667,"ENF",25,15.8312
16.71,363.9,7.115,5.93333333333333,"ENF",34,7.37993
28.16,905.112,16.865,16.7853333333333,"ENF",32,27.8982
28.92,560.2,11.993,18,"EBF",26,28.3224
